ambiente,cliente,version,version_anterior
Production,AbbacoAR,v1.40.0,-
Production,AbbacoAR,v1.41.0,v1.40.0
Production,AbbacoAR,v1.42.0,v1.41.0
Production,AbbacoAR,v1.43.3,v1.42.0
Production,AbbacoAR,v1.44.1,v1.43.3
Production,AbbacoAR,v1.44.2,v1.44.1
Production,AbbacoAR,v1.44.3,v1.44.2
Production,AbbacoAR,v1.44.5,v1.44.3
Production,AbbacoAR,v1.44.6,v1.44.5
Production,AbbacoAR,v1.44.7,v1.44.6
Production,AbbacoAR,v1.44.8,v1.44.7
Production,AbbacoAR,v1.45.0,v1.44.8
Production,AbbacoAR,v1.45.2,v1.45.0
