Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,Cantidad de muestras de la sección,Comentarios
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Analizar,v1.40.0,19425.5,44,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Arbitraje,v1.40.0,12233.0,6,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Calculadora,v1.40.0,100850.85,10,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Comparar,v1.40.0,10813.25,10,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Curvas,v1.40.0,14401.0,44,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Graficador,v1.40.0,8318.75,6,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Login,v1.40.0,17022.95,2,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Mis portafolios,v1.40.0,7676.2,20,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Screener,v1.40.0,7337.6,4,Scheduled Run
2026-03-31T14:37:48-03:00,AbbacoAR,Production,Sensibilidad,v1.40.0,6396.65,8,Scheduled Run
