Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,Cantidad de muestras de la sección
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Analizar,v1.40.0,19031.5,88
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Arbitraje,v1.40.0,13310.15,12
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Calculadora,v1.40.0,104601.25,20
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Comparar,v1.40.0,17475.4,20
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Curvas,v1.40.0,29382.9,88
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Graficador,v1.40.0,31621.7,12
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Login,v1.40.0,17181.8,4
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Mis portafolios,v1.40.0,6193.8,40
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Screener,v1.40.0,10799.85,8
2026-04-06T14:32:47-03:00,AbbacoAR,Production,Sensibilidad,v1.40.0,6857.0,16
